course,provider,price,duration,free_or_paid,employer_owned,internship_path,partner_interviews,published_employment_stats,stats_population,stats_period,job_guarantee,guarantee_conditions,refund,portfolio,direct_url,offer_url,evidence_quality,recommendation,status,source_url,source_name,source_type,date_found,date_verified,last_activity,evidence,notes
Т-Академия QA (Mobile / Backend),Т-Банк,0 ₽,4 мес.,бесплатно,да,прямой гарантии нет; Т-Банк отдельно ведёт Т-Старт QA,нет данных,нет,—,—,нет,—,—,да (учебный проект Meowle),https://education.tbank.ru/academy/t-academy/qa/,—,высокое (официальная страница),Приоритет 1 для студентов,QA Mobile: набор закрыт 31.07.2026; QA Backend: весна,https://education.tbank.ru/academy/t-academy/qa/,Т-Банк,career_site,2026-09-17,2026-09-17,2026-07-31,официальная страница,Только студенты; вступительные испытания
ШИФТ: QA-инженер (Python),ЦФТ,0 ₽,3 мес.,бесплатно,да,лучшим — предложение о работе,—,нет,—,—,нет,—,—,да (проект),https://shiftproject.ru/courses/,—,среднее (архивная вакансия + сайт проекта),Приоритет 1 — ждать следующего набора,между наборами,https://shiftproject.ru/courses/,ЦФТ,career_site,2026-09-17,2026-09-17,2026-07-18,hh.ru/vacancy/132559494 (архив),Отбор: тестовое + видеовизитка
Бесплатный курс «QA Engineer Java»,Aston,0 ₽,2 мес. + стажировка 4 мес.,бесплатно,да,да: лучших зовут на оплачиваемую стажировку,интервью на проекты Aston,«75% выпускников присоединяются к проектам»; «75% проходят интервью с первой попытки»,не раскрыто,не раскрыто,нет,—,—,учебные проекты,https://career.astondevs.ru/courses/qa-java,—,"среднее (заявление компании, методика не раскрыта)",Приоритет 1 для взрослых со знанием основ Java,открыт,https://career.astondevs.ru/courses/qa-java,Aston,career_site,2026-09-17,2026-09-17,2026-09-14,страница курса + вакансии hh.ru,"Старт з/п после проекта от 45 000 ₽. Нужно высшее или СПО, часовой пояс до UTC+5."
Школа автотестирования на Java,Bell Integrator,0 ₽,"1,5 мес.",бесплатно,да,да: найм в штат после курса,—,«700+ сотрудников обучено за 5 лет» (в вакансии),не раскрыто,5 лет,в тексте вакансии: «трудоустраиваем к нам в штат» (юридических условий не видели),нет данных,—,проект на курсе,https://hh.ru/vacancy/136545837,—,среднее,"Приоритет 1, если есть Java Core и возможность ездить в офис в Москве",открыт,https://hh.ru/vacancy/136545837,Bell Integrator,job_board,2026-09-17,2026-09-17,2026-08-27,3 вакансии hh.ru,Военный билет для военнообязанных
Курс нагрузочного тестирования для начинающих,Перфоманс Лаб,0 ₽ (лекции перед наймом),"6–7 недель, старт 05.10.2026",бесплатно,да,возможен найм 55–60 тыс. ₽,—,нет,—,—,нет,—,—,—,https://hh.ru/vacancy/136932655,—,среднее (вакансия),"Приоритет 1 для тех, кто знает основы Java/Python",открыт,https://hh.ru/vacancy/136932655,Перфоманс Лаб,job_board,2026-09-17,2026-09-17,2026-09-15,вакансия hh.ru,
Курс «Тестирование ПО» → стажировка,Контур,0 ₽,3 мес. курс + 3 мес. стажировка,бесплатно,да,да: лучших зовут на стажировку от 75 000 ₽,—,нет,—,—,нет,—,—,да,https://kontur.ru/education/internship/internship-testing,—,высокое (официальная страница),Приоритет 1 для студентов-очников,закрыт; отбор в декабре,https://kontur.ru/education/internship/internship-testing,Контур,career_site,2026-09-17,2026-09-17,нет даты,официальная страница,
Интенсив QA → стажировка,ITG Corporation / SimpleOne,0 ₽,"2,5 недели",бесплатно,да,оплачиваемая стажировка по итогам,—,нет,—,—,нет,—,—,—,https://hh.ru/vacancy/136420395,—,среднее,Приоритет 1 — следить за следующим потоком,поток 14–30.09.2026 идёт,https://hh.ru/vacancy/136420395,ITG Corporation / SimpleOne,job_board,2026-09-17,2026-09-17,2026-08-19,вакансия hh.ru,
Открытая школа ручного тестировщика,Т1,0 ₽,4–6 недель,бесплатно,да,лучших — на оплачиваемую стажировку,интервью с командами Т1,нет,—,—,нет,—,—,—,https://career.t1.ru/debut/open-school/OpenSchoolforManualTester,—,высокое (официальная страница),Не для нуля: нужен 1+ год опыта в IT,"набор закрыт, запуски ежемесячно",https://career.t1.ru/debut/open-school/OpenSchoolforManualTester,Т1,career_site,2026-09-17,2026-09-17,нет даты,официальная страница,
Инженер по тестированию,Яндекс Практикум,79 000 / 88 500 / 151 000 ₽ (тарифы),4–12 мес.,платно,нет (но компания Яндекса),нет,"карьерный центр; партнёры названы: Яндекс Маркет, Кинопоиск, hh.ru","«73% выпускников, которые обратились в Карьерный центр, находят работу в течение полугода»; «10 000 выпускников нашли работу» (со ссылкой на исследование НИУ ВШЭ); «38% больше приглашений» (исследование с hh.ru)",только обратившиеся в Карьерный центр (систематическая ошибка отбора),не указан для 73%; 2024 для исследования с hh.ru,нет (компания прямо отказалась от гарантий),—,при отказе в первую неделю оплачивается только время с начала потока,да,https://practicum.yandex.ru/qa-engineer/,ссылку на оферту со страницы извлечь не удалось,"среднее: цифры собственные, методика частично раскрыта","Можно как структура обучения; как «путь к работе» — нет доказательств сильнее, чем у бесплатных школ",открыт,https://practicum.yandex.ru/qa-engineer/,Яндекс Практикум,edtech,2026-09-17,2026-09-17,2026-09-17,страница курса + practicum.yandex.ru/promo/work-guide/…,"«38% больше приглашений» считалось по приглашениям на собеседование, не по наймам."
Профессия «Тестировщик» (с «гарантией трудоустройства»),Skillbox,не проверено,не проверено,платно,нет,"упоминается стажировка в «Детском мире» (статья Kadrof, 27.02.2026) — не проверено",нет данных,нет методологически понятной статистики,—,—,"возврат денег, если нет оффера за 6 мес. (по разбору 2023 г.)",по разбору vc.ru (2023): выполнить все задания без перерывов; все карьерные консультации; мониторить вакансии в TG организатора; участвовать в волонтёрских проектах; через месяц поиска принимать любой оффер по специальности вне зависимости от зарплаты и локации,только при выполнении всех условий; школа оставляет право отказать,да,https://skillbox.ru/,текущая оферта не прочитана (robots.txt); разбор: https://vc.ru/hr/726346-garantiya-trudoustroistva-it-shkol-na-primere-skillbox,"низкое: условия известны из стороннего разбора 2023 г., актуальную оферту прочитать не удалось",Не рекомендовано без чтения актуальной оферты,не проверено,https://vc.ru/hr/726346-garantiya-trudoustroistva-it-shkol-na-primere-skillbox,Skillbox,edtech,2026-09-17,2026-09-17,2023,"vc.ru, 2023",
