company,program,category,status,qa_available,experience_required,student_only,location,remote,paid,selection_process,skills_required,direct_url,next_or_last_intake,employment_after_program,evidence,evidence_type,source_name,source_type,date_found,date_verified,last_activity,notes
Яндекс,Стажировка в тестировании (ручное и авто),стажировка,открыт (круглый год),да,"нет, нужны знания",нет,"Москва, СПб, Екатеринбург, Сочи, Новосибирск, НН",скорее нет,да (сумма не раскрыта),контест (4 задачи) → техинтервью ~1 ч → встреча с командой,теория тестирования; тест-дизайн; тестовая документация; HTTP/HTTPS; основы SQL,https://yandex.ru/yaintern/qa,набор постоянный,«более 50% стажёров становятся штатными» — заявление компании,официальная страница стажировки,заявление компании,yandex.ru/yaintern,career_site,2026-09-17,2026-09-17,2026-09-17,"3–6 мес., 20/30/40 ч/нед. Также открыт стажёр по автоматизации в Финтехе: yandex.ru/jobs/vacancies/…-35217"
Т-Банк,Т-Старт: стажировка QA-инженер,стажировка,не указано на странице,да (ручное и авто),нет,"нет (студенты, выпускники, начинающие)",офисы Т-Банка,да,да,на странице не детализирован,"тест-дизайн; виды тестирования; клиент-сервер, API, БД; базовое программирование на любом языке",https://education.tbank.ru/start/quality_engineer/,«летом или в течение учебного года»,«возможность пройти в штат» после ревью,официальная страница,заявление компании,education.tbank.ru,career_site,2026-09-17,2026-09-17,нет даты,
Т-Банк,Т-Академия QA (Mobile / Backend) — бесплатное обучение,школа работодателя,"закрыт (QA Mobile: приём до 31.07.2026, старт 01.09.2026)",да,"нет, нужно программирование и сети",да (студенты любых вузов),онлайн,да,бесплатно,вступительные испытания в 2 этапа,программирование; сети; автотесты на Kotlin/Swift в программе,https://education.tbank.ru/academy/t-academy/qa/,QA Backend: февраль–май; QA Mobile: сентябрь–декабрь,гарантии стажировки нет; статистики нет,официальная страница,официальный первоисточник,education.tbank.ru,career_site,2026-09-17,2026-09-17,2026-07-31,
Сбер,Стажировки Сбера (есть трек QA),стажировка,вне программы — круглый год; весенний набор программы,да,нет,"да (очники со 2 курса, магистранты, аспиранты; иностранцы — если учатся очно в РФ)",город стажировки,гибрид/офис,до 81 000 ₽ (зависит от города и часов),анкета → онлайн-тест → руководитель → интервью → оформление,"по вакансиям: тест-дизайн, REST, HTTP, Postman, DevTools; в AQA — Java, SQL, Git, Jenkins",https://student.sber.ru/internship,весна (программа); вакансии стажёров — постоянно,«50% стажёров продолжают карьеру в Сбере» — заявление компании,"официальная страница + 3 активные QA-вакансии стажёров (youngjunior.ru/qa/jobs/61036, 60540, 58222)",заявление компании + вакансии,student.sber.ru,career_site,2026-09-17,2026-09-17,2026-09-10,
Контур,Стажировка «Разработка: Тестирование ПО» (курс → стажировка),школа работодателя,закрыт,да,нет,"да (очники IT-направлений, 18+)","Екатеринбург, СПб, Новосибирск, Ижевск, Самара, Пермь, Казань, Иннополис, Иваново, Ростов-на-Дону",нет данных,от 75 000 ₽ при 40 ч/нед,заявка → тестовое → онлайн-курс 3 мес. → лучших зовут на стажировку,Git; DevTools; SQL; C#; YouTrack; Postman; Xmind,https://kontur.ru/education/internship/internship-testing,"отбор на курс в декабре, курс с февраля, стажировка летом",«официальное трудоустройство»; статистики нет,официальная страница,официальный первоисточник,kontur.ru,career_site,2026-09-17,2026-09-17,нет даты,СКБ Контур и Контур — одна компания.
VK,Стажировка VK (QA-вакансии сезонные),стажировка,сейчас нет открытых вакансий,"да (в прошлых наборах: ручной тестировщик, QA Engineer, QA-автоматизатор)",нет; для ручного — «пройденные курсы QA»,нет данных,"Москва, СПб, Казань, Сочи, НН, Томск, удалённо",да,да,на странице нет,"(вакансия 1340) теория, тест-документация, Postman, базовый SQL, клиент-сервер",https://internship.vk.company/internship,последняя QA-вакансия: май–октябрь 2026 (закрыта),нет данных,официальная страница: «На данный момент вакансий нет»,официальный первоисточник,internship.vk.company,career_site,2026-09-17,2026-09-17,2026,
Авито,"Стажировка Авито Tech (Backend, Frontend, QA, Android, iOS)",стажировка,закрыт 30.08.2026,да,нет,"да/почти (2–4 курс бакалавриата, 4–5 специалитета, недавние выпускники, переподготовка IT)",5 офисов,удалённо/гибрид,да (сумма не раскрыта),анкета → онлайн-тест → тестовое + видеоинтервью → техническое и HR-интервью,нет данных для QA,https://www.cnews.ru/news/line/2026-08-19_avito_otkryl_nabor_na_novuyu,программа 9 мес. с октября 2026; следующий набор — ориентировочно через год (не подтверждено),«лучшие получают оффер» — заявление компании,новость CNews 19.08.2026 + github.com/avito-tech/tech-internship,СМИ со слов компании,CNews,media,2026-09-17,2026-09-17,2026-08-30,
Ozon / Ozon Банк,Стажёры QA (вакансии) + школа Route 256,стажировка,активна вакансия стажёра QA Auto JS (СПб),да,"нет, но нужны автотесты на любом языке",да (3 курс+),"Санкт-Петербург, Москва",офис,да,"по опыту стажёрки Ozon Tech: одно интервью (теория + практика), портфолио на GitHub",принципы автоматизации; TS/JS; Playwright/Jest/Cypress/Selenium; DevTools; Git; GitLab CI,https://hh.ru/vacancy/133496207,вакансия от 18.08.2026,"«7 из 10 стажёров» переходят в штат — статья в блоге компании (Хабр, 13.02.2026)",вакансия hh.ru + habr.com/ru/companies/ozontech/articles/996238/,вакансия + корпоративный блог,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-18,career.ozon.ru/internships не открылся при проверке (ошибка редиректов).
Лаборатория Касперского,SafeBoard (есть направление «тестирование»),стажировка,закрыт (весенний набор 11–30.03.2026),да,нет,да (кроме выпускного курса),Москва и МО (нужно проживать),гибрид частично,да,нет данных в пресс-релизе,нет данных,https://www.kaspersky.ru/about/press-releases/lovi-volnu-laboratoriya-kasperskogo-otkryvaet-novyj-nabor-na-stazhirovku-dlya-studentov-safeboard,ежегодный весенний набор (март),"«более 50% стажёров остаются», «800+ стажёров наняты» — пресс-релиз",пресс-релиз 11.03.2026,заявление компании,kaspersky.ru,press_release,2026-09-17,2026-09-17,2026-03-30,
МТС,"Вакансии стажёров QA (Fullstack, AQA Java, AQA Python) + МТС Старт",стажировка,активные вакансии стажёров,да,нет,да (3–6 курс),"Москва, удалённо",да (часть),да,нет данных,"DevTools, Postman, SDLC/STLC; для AQA — Java или Python, SQL, REST, Kafka/RabbitMQ, агентные ИИ",https://job.mts.ru/programs,вакансии от 30.08–08.09.2026,«при наличии свободных вакансий сможешь продолжить» (МТС Старт),"youngjunior.ru/qa/jobs/60112, 58196, 56684 + job.mts.ru/programs/start",вакансии + официальная страница,job.mts.ru,career_site,2026-09-17,2026-09-17,2026-09-08,
