kind,company,title,city,remote,status,status_note,checked,experience,pay,skills,url
вакансия,ARRU GAMES,Junior QA (тестировщик мобильной игры),удалённо,да,открыт,,2026-09-17,не требуется,46 000–74 000 ₽ ($500–800),"баг-репорты, Android/iOS",https://youngjunior.ru/qa/jobs/60218
вакансия,Fora Soft,Junior QA / Младший специалист по тестированию ПО,Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,57 000–90 000 ₽,"тест-дизайн, тест-кейсы, английский, ИИ-инструменты",https://hh.ru/vacancy/136721105
вакансия,Sputnik8,QA Engineer,Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-дизайн, SQL, Postman, Swagger, Jira/TMS",https://hh.ru/vacancy/136519968
вакансия,TrueConf,Младший тестировщик ПО / Junior QA Engineer,Москва,нет,открыт,,2026-09-17,не требуется,50 000–60 000 ₽,"теория тестирования, Linux, Jira/TMS",https://hh.ru/vacancy/136399790
вакансия,АМТЕХ,Junior QA,Москва,да,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-дизайн, клиент-сервер",https://hh.ru/vacancy/137256922
вакансия,БПМСОФТ,Ассистент тестировщика,Нижний Новгород,нет,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-дизайн, SQL, Jira/TMS",https://hh.ru/vacancy/131501846
вакансия,Доктор Веб,Младший тестировщик / Junior QA software tester,Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-кейсы, чек-листы, Jira/TMS",https://hh.ru/vacancy/119066525
вакансия,Доктор Веб,Младший тестировщик (Unix),Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,не указана,"тест-кейсы, HTTP, Linux, снифферы трафика, Python, Docker",https://hh.ru/vacancy/136889813
вакансия,ИП Чувашев П. В.,Тестировщик ПО Junior (Web и Mobile),Казань,да,открыт,,2026-09-17,не требуется,60 000 на ИС → 80 000 ₽,теория тестирования,https://hh.ru/vacancy/136739197
вакансия,ИП Шабатин В. В.,Junior QA Engineer (Gamedev),Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-кейсы, чек-листы, баг-репорты, Jira/TMS, Android/iOS",https://hh.ru/vacancy/136986317
вакансия,МОБИ.Деньги,Младший тестировщик ПО,Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,от 50 000 ₽ на руки,"теория тестирования, тест-дизайн, тест-кейсы, чек-листы, SQL, Linux, Jira/TMS",https://hh.ru/vacancy/137113401
вакансия,НОРСИ-ТРАНС,Специалист по тестированию (мобильная связь),Москва,нет,открыт,,2026-09-17,не требуется,от 70 000 ₽ на руки,баг-репорты,https://hh.ru/vacancy/137094644
вакансия,Синтегро консалтинг,Тестировщик 1С,Москва,нет,открыт,,2026-09-17,не требуется,от 60 000 ₽ на руки,"тест-кейсы, автотесты",https://hh.ru/vacancy/136860298
вакансия,Системы документооборота,Специалист по тестированию (Тестировщик),Казань,нет,открыт,,2026-09-17,не требуется,40 000 ₽,"тест-кейсы, баг-репорты",https://hh.ru/vacancy/136792634
вакансия,Специальный Технологический Центр,Тестировщик ПО (Manual QA),Санкт-Петербург,нет,открыт,,2026-09-17,не требуется,от 100 000 ₽,"баг-репорты, Linux, Git, снифферы трафика, Jira/TMS, Python, CI/CD, Docker",https://hh.ru/vacancy/136858878
вакансия,Страховая группа МАКС,Младший тестировщик / Специалист по тестированию,Москва,нет,открыт,,2026-09-17,не требуется,до 70 000 ₽,"чек-листы, SQL, Java, JavaScript/TypeScript",https://youngjunior.ru/qa/jobs/56951
стажировка,Bellerage,Стажер-тестировщик 1C,Москва,нет,открыт,,2026-09-17,не требуется,не указана,"чек-листы, Git, Jira/TMS, английский",https://hh.ru/vacancy/133371552
стажировка,Ozon Банк,"Стажер, QA Auto JavaScript",Санкт-Петербург,нет,открыт,,2026-09-17,не требуется; только студенты (3 курс и старше),не указана,"теория тестирования, тест-дизайн, DevTools, Git, Java, JavaScript/TypeScript, автотесты, Selenium",https://hh.ru/vacancy/133496207
стажировка,SimbirSoft,"Онлайн-стажировка (QA, SDET)",онлайн,да,открыт,"2-й поток, анонс 25.08.2026",2026-09-17,нужны учебные или хакатон-проекты; студенты IT,оплачивается,не указаны,https://habr.com/ru/companies/simbirsoft/news/1074322/
стажировка,Альфа-Банк,Стажер-тестировщик (автоматизация розничных продуктов),Москва,нет,открыт,,2026-09-17,не требуется,не указана,"теория тестирования, тест-дизайн, SQL",https://youngjunior.ru/qa/jobs/59442
стажировка,Банк ПСБ (Старт карьеры),Стажер тестировщик,Москва,да,открыт,,2026-09-17,не требуется; только студенты (4–6 курс вуза),"90 000 ₽ до вычета, пропорц. часам","теория тестирования, тест-кейсы, чек-листы, баг-репорты, Postman, Jira/TMS",https://hh.ru/vacancy/136979080
стажировка,Банк Уралсиб,Стажер-тестировщик QA (удалённо),Казань / удалённо по РФ,да,открыт,,2026-09-17,не требуется; только студенты (выпускной курс тех. направления),до 50 000 ₽,"теория тестирования, тест-дизайн, SQL, REST API, Postman, DevTools, HTTP, JSON/XML",https://youngjunior.ru/qa/jobs/53553
стажировка,Билайн,QA Intern,Москва,нет,открыт,,2026-09-17,не требуется,не указана,"REST API, клиент-сервер, автотесты, ИИ-инструменты",https://youngjunior.ru/qa/jobs/58227
стажировка,ИТ-компания «Лоция»,Функциональный тестировщик / QA инженер (стажировка),удалённо,да,открыт,,2026-09-17,не требуется; только студенты (студенты технических и IT-вузов),не оплачивается,"теория тестирования, SQL, REST API, Git",https://career.habr.com/vacancies/1000168356
стажировка,МТС,Стажер Fullstack QA,Москва,нет,открыт,,2026-09-17,не требуется; только студенты (3–6 курс),не указана,"теория тестирования, тест-дизайн, тест-кейсы, Postman, DevTools",https://youngjunior.ru/qa/jobs/60112
