name,type,url
Swagger Petstore,API,https://petstore.swagger.io/
JSONPlaceholder,API,https://jsonplaceholder.typicode.com/
httpbin,HTTP,https://httpbin.org/
Sauce Demo (Swag Labs),UI,https://www.saucedemo.com/
DemoQA,UI,https://demoqa.com/
SQL Academy,SQL,https://sql-academy.org/en
Интерактивный тренажёр по SQL (Stepik),SQL,https://stepik.org/course/63054/promo
Подборка песочниц для QA (Хабр),подборка площадок,https://habr.com/ru/articles/906152/
YoungJunior — вопросы с собеседований QA,собеседования,https://youngjunior.ru/qa/interviews
Портфолио junior QA: KurehanovaQA,портфолио,https://github.com/KurehanovaQA/KurehanovaQA-Portfolio
Портфолио junior QA: juliet089,портфолио,https://github.com/juliet089/qa-portfolio
Портфолио junior QA: 7300E9,портфолио,https://github.com/7300E9/qa-portfolio
Портфолио junior QA: YanaMatveeva1,портфолио,https://github.com/YanaMatveeva1/qa-portfolio
