name,type,status,status_note,checked,url
hh.ru — тестировщик без опыта (Москва),сайт вакансий,активен,,2026-09-17,https://hh.ru/vacancies/testirovshik/bez_opyta_raboty
hh.ru — тестировщик без опыта (Санкт-Петербург),сайт вакансий,активен,,2026-09-17,https://spb.hh.ru/vacancies/testirovshik/bez_opyta_raboty
hh.ru — стажёр-тестировщик (Москва),сайт вакансий,активен,,2026-09-17,https://hh.ru/vacancies/stazher-testirovschik
hh.ru — junior тестировщик (Москва),сайт вакансий,активен,,2026-09-17,https://hh.ru/vacancies/junior-testirovschik
hh.ru — тестировщик без опыта (Казань),сайт вакансий,активен,,2026-09-17,https://kazan.hh.ru/vacancies/testirovshik/bez_opyta_raboty
hh.ru — тестировщик без опыта (Нижний Новгород),сайт вакансий,активен,,2026-09-17,https://nn.hh.ru/vacancies/testirovshik/bez_opyta_raboty
hh.ru — тестировщик без опыта (Екатеринбург),сайт вакансий,активен,,2026-09-17,https://ekaterinburg.hh.ru/vacancies/testirovshik/bez_opyta_raboty
hh.ru — тестировщик без опыта (Уфа),сайт вакансий,активен,,2026-09-17,https://ufa.hh.ru/vacancies/testirovshik/bez_opyta_raboty
Хабр Карьера — Junior QA / младший тестировщик,сайт вакансий,активен,,2026-09-17,https://career.habr.com/vacancies/junior_testirovschik
YoungJunior — стажировки QA,агрегатор,активен,,2026-09-17,https://youngjunior.ru/qa/internships
Changellenge — стажировки для тестировщиков,агрегатор,активен,,2026-09-17,https://changellenge.com/vacancy/filter/stazhirovki-qa-inzhener/
Job for QA,Telegram,активен,,2026-09-17,https://t.me/forallqa
Работа для тестировщиков. QA (@qajoboffer),Telegram,активен,,2026-09-17,https://t.me/qajoboffer
QA Вакансии. QaRocks (@jobforqa),Telegram,активен,,2026-09-17,https://t.me/jobforqa
Вакансии для тестировщиков (@jobfortester),Telegram,активен,,2026-09-17,https://t.me/jobfortester
QA — вакансии (@qa_jobs),Telegram,не подтверждён,активность не удалось проверить,2026-09-17,https://t.me/qa_jobs
Young & Junior — вакансии IT (@young_june),Telegram,активен,,2026-09-17,https://t.me/young_june
Юниор: стажировки и вакансии (@yuniorapp),Telegram,активен,,2026-09-17,https://t.me/yuniorapp
IT — стажировки и обучение (@it_interns),Telegram,активен,,2026-09-17,https://t.me/it_interns
Вакансии и стажировки для начинающих (@junior_vacancies),Telegram,неактивен,последний пост: 2025-11-20,2026-09-17,https://t.me/junior_vacancies
Работа для тестировщика (@qajobsoffers),Telegram,неактивен,последний пост: 2025-09-27,2026-09-17,https://t.me/qajobsoffers
Вакансии QA Engineer/Тестировщикам (@qa_jobs_rabota),Telegram,неактивен,последний пост: ≈2024,2026-09-17,https://t.me/qa_jobs_rabota
Яндекс — стажировка в тестировании,сайт компании,активен,,2026-09-17,https://yandex.ru/yaintern/qa
Яндекс — все вакансии тестировщиков,сайт компании,активен,,2026-09-17,https://yandex.ru/jobs/vacancies?professions=tester
Т1 Дебют — стажировки,сайт компании,активен,,2026-09-17,https://career.t1.ru/debut/internship
Сбер — стажировки,сайт компании,активен,,2026-09-17,https://student.sber.ru/internship
Т-Образование — Т-Старт QA,сайт компании,не подтверждён,активность не удалось проверить,2026-09-17,https://education.tbank.ru/start/quality_engineer/
Контур — стажировки,сайт компании,активен,набор сейчас закрыт,2026-09-17,https://kontur.ru/education/internship
VK — стажировки,сайт компании,активен,вакансий сейчас нет,2026-09-17,https://internship.vk.company/internship
YADRO Импульс,сайт компании,активен,набор сейчас закрыт,2026-09-17,https://edu.yadro.com/impulse/
Aston — бесплатные курсы и стажировки,сайт компании,активен,,2026-09-17,https://career.astondevs.ru/courses/qa-java
Яндекс Крауд — тестирование,сайт компании,активен,,2026-09-17,https://crowd.yandex.ru/
VK — вакансии QA (компания),сайт компании,активен,,2026-09-17,https://team.vk.company/vacancy/?specialty=284
