id,status,title,company,city,format,salary,experience_label,level,student_only,published,source_url,source_name,source_type,date_found,date_verified,last_activity,evidence,notes
hh-137318914,active,QA Engineer Java / Инженер-тестировщик Java (ученик),Aston,"Москва (+ дубли в СПб, Казани, НН, Краснодаре)",удалённо,не указана,не требуется,ученик,нет,2026-09-14,https://hh.ru/vacancy/137318914,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,страница вакансии hh.ru,"Бесплатный курс Aston (2 мес.) → стажировка. По данным компании, 75% выпускников присоединяются к проектам; стартовая зарплата после проекта от 45 000 ₽."
hh-136945279,active,Инженер по тестированию Java (стажер),Aston,"Москва (+ дубли в СПб, НН)",удалённо,не указана,не требуется,стажёр,нет,2026-09-03,https://hh.ru/vacancy/136945279,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-03,страница вакансии hh.ru,"Лаборатория Aston: ~4 мес. обучения на учебных проектах, стипендия."
hh-137319204,active,Тестировщик (краудтестинг),Crowdtesting.ru,"Москва (+ СПб, Краснодар)","удалённо, проектная",сдельно: 150–500 ₽ за подтверждённый баг,не требуется,без опыта,нет,2026-09-14,https://hh.ru/vacancy/137319204,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,страница вакансии hh.ru,"Не работа, а подработка со сдельной оплатой. Годится как источник реальных баг-репортов для портфолио (если правила площадки разрешают их показывать)."
hh-136932655,active,Начинающий инженер по нагрузочному тестированию,Перфоманс Лаб,Москва,гибрид,55 000–60 000 ₽ на руки,не требуется,без опыта,нет,2026-09-15,https://hh.ru/vacancy/136932655,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-15,страница вакансии hh.ru,"Перед наймом лекционный курс 6–7 недель, старт 05.10.2026, вход через тестовое задание по программированию."
hh-133371552,active,Стажер-тестировщик 1C,Bellerage,Москва,офис,не указана,не требуется,стажёр,нет (старшие курсы тоже),2026-08-10,https://hh.ru/vacancy/133371552,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-10,страница вакансии hh.ru,
hh-137094644,active,Специалист по тестированию (мобильная связь),НОРСИ-ТРАНС,Москва (+ дубль в СПб),офис + командировки,от 70 000 ₽ на руки,не требуется,без опыта,нет,2026-09-08,https://hh.ru/vacancy/137094644,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-08,страница вакансии hh.ru,"Полевое тестирование связи, не классический веб-QA."
hh-134492344,active,Стажер-тестировщик,Р-Вижн,Москва,удалённо по РФ,не указана,не требуется,стажёр,да (3 курс бакалавриата / 1 курс магистратуры),2026-08-07,https://hh.ru/vacancy/134492344,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-07,страница вакансии hh.ru,"Стажировка 6 месяцев, 30–40 ч/нед, возможен переход в junior."
hh-136860298,active,Тестировщик 1С,Синтегро консалтинг,Москва,офис,от 60 000 ₽ на руки,не требуется,без опыта,нет,2026-09-01,https://hh.ru/vacancy/136860298,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-01,страница вакансии hh.ru,
hh-136545837,active,Инженер по автоматизированному тестированию на Java (ученик/стажер),Bell Integrator,Москва,офис,до 60 000 ₽,не требуется,ученик,нет,2026-08-27,https://hh.ru/vacancy/136545837,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-27,страница вакансии hh.ru,"Бесплатная школа 1,5 мес. (вечером онлайн) → найм. Дубли той же школы: hh.ru/vacancy/136629476 и hh.ru/vacancy/136607376."
hh-137408496,active,Стажер QA / Junior QA Engineer,Развитие ИТ,Москва,удалённо,не указана,не требуется,стажёр,нет,2026-09-15,https://hh.ru/vacancy/137408496,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-15,страница вакансии hh.ru,
hh-136399790,active,Младший тестировщик ПО / Junior QA Engineer,TrueConf,Москва,офис,50 000–60 000 ₽,не требуется,без опыта,нет,2026-08-19,https://hh.ru/vacancy/136399790,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-19,страница вакансии hh.ru,Просят сопроводительное письмо с ответами на вопросы работодателя.
hh-137256922,active,Junior QA,АМТЕХ,Москва,гибрид/удалённо/офис,не указана,не требуется,без опыта,нет,2026-09-11,https://hh.ru/vacancy/137256922,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-11,страница вакансии hh.ru,
hh-137310191,active,Инженер по тестированию – стажер,РТЛабс,Санкт-Петербург,гибрид (3 дня офис),не указана,не требуется,стажёр,да (студент IT-вуза),2026-09-14,https://hh.ru/vacancy/137310191,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,страница вакансии hh.ru,Госуслуги-платформа; возможен переход в штат.
hh-119066525,active,Младший тестировщик / Junior QA software tester,Доктор Веб,Санкт-Петербург,офис,не указана,не требуется,без опыта,нет,2026-09-03,https://hh.ru/vacancy/119066525,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-03,страница вакансии hh.ru,
hh-136889813,active,Младший тестировщик (Unix),Доктор Веб,Санкт-Петербург,офис,не указана,не требуется,без опыта,нет,2026-09-02,https://hh.ru/vacancy/136889813,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-02,страница вакансии hh.ru,
